 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano processamento
Capítulo CID-10: V.   Transtornos mentais e comportamentais
Período:Jan/2008-Set/2025
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"150304 FLORESTA DO ARAGUAIA";11;5;4;4;3;-;-;1;5;6;3;1;12;10;6;-;5;-;76
"150307 GARRAFAO DO NORTE";1;10;7;7;4;4;11;8;10;11;15;11;13;14;8;18;28;14;194
"150309 GOIANESIA DO PARA";20;24;25;18;14;-;-;2;1;10;2;3;1;3;-;2;1;-;126
"150310 GURUPA";1;2;3;1;1;-;-;2;2;7;5;6;2;2;2;1;3;3;43
"150320 IGARAPE-ACU";6;9;17;15;16;22;24;20;13;15;9;13;10;10;18;18;15;8;258
"150330 IGARAPE-MIRI";9;10;9;111;6;13;36;17;10;20;31;18;24;14;31;25;30;23;437
"150340 INHANGAPI";-;-;3;2;-;2;4;2;2;1;2;3;1;3;2;2;6;1;36
"150345 IPIXUNA DO PARA";10;6;13;9;11;8;13;13;11;8;11;9;11;6;8;6;21;12;186
"150350 IRITUIA";-;5;3;13;5;11;4;17;14;14;7;10;11;5;7;10;10;5;151
"150360 ITAITUBA";8;5;5;5;4;-;-;2;-;-;4;6;4;2;3;5;1;11;65
"150370 ITUPIRANGA";1;4;2;5;5;3;2;-;2;6;3;7;5;10;3;11;9;4;82
"150375 JACAREACANGA";-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;3
"150380 JACUNDA";9;6;9;10;15;5;5;4;-;-;2;5;3;5;3;2;11;20;114
"150390 JURUTI";-;-;-;-;-;1;-;-;1;-;-;-;-;1;3;1;1;1;9
"150400 LIMOEIRO DO AJURU";-;3;4;4;2;2;14;1;2;1;2;1;7;4;4;1;-;7;59
"150405 MAE DO RIO";2;6;8;15;13;24;16;10;18;13;12;13;12;20;8;14;13;9;226
"150410 MAGALHAES BARATA";-;3;-;2;1;3;1;2;2;2;1;3;1;4;2;3;2;1;33
"150420 MARABA";48;43;29;40;25;5;9;2;7;106;136;97;88;81;107;95;126;102;1146
"150430 MARACANA";3;3;5;5;5;9;10;4;5;6;3;5;5;5;9;10;10;8;110
"150440 MARAPANIM";1;3;9;4;3;10;9;11;7;11;10;8;12;7;8;4;4;2;123
"150442 MARITUBA";15;44;39;42;48;76;88;78;80;72;62;68;81;103;88;89;69;77;1219
"150445 MEDICILANDIA";2;2;6;13;11;-;-;-;3;2;-;-;-;2;1;7;1;1;51
"150450 MELGACO";-;-;-;2;-;-;-;2;6;5;5;6;1;-;1;2;1;6;37
"150460 MOCAJUBA";-;2;7;4;7;9;11;7;20;15;12;8;6;6;7;8;10;6;145
"150470 MOJU";8;5;21;11;9;14;19;36;34;16;19;17;16;19;22;32;30;20;348
"150480 MONTE ALEGRE";-;3;2;4;-;3;2;3;2;2;4;-;1;1;9;28;50;19;133
"150490 MUANA";3;-;1;4;3;1;4;12;4;6;6;11;5;3;4;3;7;11;88
"150495 NOVA ESPERANCA DO PIRIA";-;3;5;6;9;8;8;11;13;7;6;3;3;10;24;12;13;16;157
"150497 NOVA IPIXUNA";1;1;-;-;-;-;-;-;-;1;3;1;4;2;2;1;5;4;25
"150500 NOVA TIMBOTEUA";2;2;7;6;3;7;9;3;4;6;-;-;7;6;13;17;14;7;113
"150503 NOVO PROGRESSO";8;3;10;30;21;-;-;2;-;1;-;12;11;15;7;13;14;4;151
"150506 NOVO REPARTIMENTO";12;25;17;24;25;5;-;3;9;6;11;7;14;16;14;8;11;10;217
"150510 OBIDOS";-;-;2;-;-;-;-;-;-;-;-;-;2;1;7;1;1;-;14
"150520 OEIRAS DO PARA";-;2;4;4;3;4;6;8;3;1;5;6;4;3;4;1;4;6;68
"150530 ORIXIMINA";1;-;2;-;-;1;2;1;2;1;-;2;-;6;1;2;1;1;23
"150540 OUREM";1;2;13;5;3;1;7;2;15;10;7;9;9;5;5;10;22;16;142
"150543 OURILANDIA DO NORTE";9;10;6;1;1;3;-;3;1;-;3;12;6;3;11;6;12;3;90
"150548 PACAJA";2;6;9;15;12;1;3;6;19;9;8;22;26;64;54;40;19;17;332
"150549 PALESTINA DO PARA";6;-;4;8;3;1;3;1;3;4;3;-;4;12;12;1;-;2;67
"150550 PARAGOMINAS";8;7;7;4;6;12;28;23;17;15;27;39;29;26;42;53;47;35;425
"150553 PARAUAPEBAS";32;21;50;54;57;18;30;17;95;144;164;137;194;221;373;376;395;244;2622
"150555 PAU D'ARCO";2;-;6;2;2;1;-;2;1;1;1;-;1;-;1;-;3;2;25
"150560 PEIXE-BOI";-;1;1;-;2;4;-;1;-;4;3;2;4;2;8;3;2;7;44
"150563 PICARRA";8;13;10;16;5;2;1;-;-;1;1;-;3;1;1;-;-;-;62
"150565 PLACAS";1;1;1;3;-;1;4;13;6;9;2;2;1;5;4;3;4;8;68
"150570 PONTA DE PEDRAS";3;9;5;9;2;7;7;6;6;14;9;11;7;5;2;3;5;5;115
"150580 PORTEL";8;4;4;7;2;1;9;11;7;8;11;10;9;3;5;6;34;22;161
"150590 PORTO DE MOZ";1;4;-;2;1;-;-;1;1;-;-;-;1;-;3;1;1;-;16
"150600 PRAINHA";2;4;4;5;2;1;-;1;-;2;-;1;-;-;-;-;-;-;22
"150610 PRIMAVERA";1;1;4;4;2;5;5;3;7;8;4;6;6;6;5;7;10;3;87
"150611 QUATIPURU";-;-;4;3;2;-;-;1;3;2;1;2;1;2;11;16;8;3;59
"150613 REDENCAO";47;53;28;26;15;11;11;15;12;14;15;23;18;24;51;43;67;61;534
"150616 RIO MARIA";3;5;2;7;2;1;-;3;1;1;3;1;1;4;4;16;12;4;70
"150618 RONDON DO PARA";7;5;8;8;2;1;2;1;-;1;2;7;4;3;3;4;5;4;67
"150619 RUROPOLIS";1;1;1;6;3;-;1;1;-;-;2;2;1;-;-;1;15;1;36
"150620 SALINOPOLIS";2;4;10;5;5;10;12;16;10;14;13;15;14;22;34;9;36;20;251
