Município,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
130310 NOVA OLINDA DO NORTE,,,,,,,,,,,,,,3.0,1.0,,1.0,2.0,7.0
130320 NOVO AIRAO,,,,,,1.0,,,,,2.0,2.0,,1.0,1.0,,1.0,,8.0
130330 NOVO ARIPUANA,,,,,,,,,,,,,,1.0,,,,,1.0
130340 PARINTINS,,2.0,2.0,1.0,,1.0,1.0,1.0,,1.0,2.0,27.0,11.0,53.0,81.0,117.0,165.0,100.0,565.0
130350 PAUINI,,,,2.0,3.0,2.0,3.0,1.0,,5.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,7.0,39.0
130353 PRESIDENTE FIGUEIREDO,,1.0,1.0,2.0,,,,,,,2.0,3.0,1.0,7.0,4.0,3.0,6.0,2.0,32.0
130356 RIO PRETO DA EVA,,,,,,,,,,,1.0,4.0,1.0,7.0,4.0,5.0,3.0,,25.0
130360 SANTA ISABEL DO RIO NEGRO,,,,1.0,,2.0,,,,,,,,4.0,1.0,2.0,1.0,,11.0
130370 SANTO ANTONIO DO ICA,,,,,1.0,1.0,1.0,,,2.0,,1.0,1.0,2.0,1.0,4.0,4.0,,18.0
130380 SAO GABRIEL DA CACHOEIRA,1.0,,,,,,,,1.0,1.0,8.0,7.0,5.0,2.0,2.0,4.0,5.0,6.0,42.0
130390 SAO PAULO DE OLIVENCA,,,1.0,4.0,,,,,,,1.0,2.0,,1.0,1.0,2.0,8.0,4.0,24.0
130395 SAO SEBASTIAO DO UATUMA,,,,,,,,,,,,,,1.0,2.0,2.0,3.0,3.0,11.0
130400 SILVES,,,,,1.0,,1.0,,,,,,,,1.0,,,,3.0
130406 TABATINGA,,2.0,1.0,3.0,1.0,,1.0,3.0,,,1.0,1.0,,,,,2.0,1.0,16.0
130410 TAPAUA,,,,,,,,,,1.0,,,2.0,,4.0,,,1.0,8.0
130420 TEFE,2.0,3.0,2.0,5.0,3.0,5.0,13.0,13.0,11.0,9.0,7.0,7.0,10.0,6.0,2.0,11.0,3.0,5.0,117.0
130423 TONANTINS,1.0,,,,,,,,,,,,,,,,,1.0,2.0
130426 UARINI,,,,,,,,,,,,2.0,,1.0,4.0,2.0,2.0,,11.0
130430 URUCARA,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,2.0,7.0,15.0
130440 URUCURITUBA,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,5.0
140002 AMAJARI,,2.0,1.0,,2.0,2.0,2.0,3.0,4.0,4.0,,,,1.0,,1.0,,,22.0
140005 ALTO ALEGRE,,,3.0,3.0,1.0,2.0,3.0,4.0,5.0,5.0,3.0,3.0,1.0,,1.0,1.0,1.0,2.0,38.0
140010 BOA VISTA,9.0,28.0,87.0,107.0,176.0,241.0,143.0,174.0,276.0,309.0,190.0,189.0,148.0,163.0,218.0,219.0,120.0,54.0,2851.0
140015 BONFIM,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,,1.0,,,6.0,9.0,7.0,,,38.0
140017 CANTA,,1.0,1.0,3.0,5.0,4.0,3.0,1.0,5.0,4.0,4.0,5.0,7.0,2.0,4.0,4.0,,2.0,55.0
140020 CARACARAI,,3.0,,,2.0,2.0,3.0,3.0,2.0,5.0,5.0,3.0,1.0,,,5.0,1.0,4.0,39.0
140023 CAROEBE,,1.0,4.0,11.0,3.0,3.0,2.0,,1.0,4.0,,,1.0,1.0,,2.0,,,33.0
140028 IRACEMA,1.0,,2.0,3.0,3.0,2.0,2.0,3.0,1.0,,1.0,1.0,1.0,,2.0,,,1.0,23.0
